Date,DAX,FTSE
1991-01-03,0.0403,-0.4934
1991-01-04,2.1527,0.3919
1991-01-07,-2.7155,-0.602
1991-01-08,-0.31,-0.6341
1991-01-09,1.5665,1.381
1991-01-10,0.5992,-0.9488
1991-01-11,-0.0824,-0.1233
1991-01-14,-3.9399,-1.2013
1991-01-15,-0.1642,-0.4758
1991-01-16,-0.2218,-0.7774
1991-01-17,7.5597,2.4236
1991-01-18,-1.2378,-0.0903
1991-01-21,-1.0576,-0.8893
1991-01-22,-1.0847,-0.1152
1991-01-23,-1.1897,-0.0528
1991-01-24,1.207,0.9036
1991-01-25,0.501,0.1762
1991-01-28,0.0456,0.7133
1991-01-29,-0.175,-0.1983
1991-01-30,1.4831,1.8356
1991-01-31,1.3814,0.8223
1991-02-01,0.4528,-0.212
1991-02-04,0.5973,0.3094
1991-02-05,0.2662,1.3625
1991-02-06,-0.7061,-0.327
1991-02-07,0.5299,2.228
1991-02-08,2.1974,0.0669
1991-02-11,1.4252,1.5054
1991-02-12,-1.33,-0.6362
1991-02-13,1.3935,0.1457
1991-02-14,-0.194,1.1729
1991-02-15,3.005,0.109
1991-02-18,2.7025,0.9317
1991-02-19,0.9259,-0.2545
1991-02-20,-1.2482,-0.6746
1991-02-21,-0.0638,0.6792
1991-02-22,1.0343,0.0822
1991-02-25,1.1772,0.916
1991-02-26,-2.6799,-0.5695
1991-02-27,0.4672,1.111
1991-02-28,-1.4966,1.4012
1991-03-01,-1.6439,0.252
1991-03-04,0.9309,-0.1676
1991-03-05,0.614,1.5611
1991-03-06,3.5098,1.6446
1991-03-07,-0.8693,-0.9025
1991-03-08,1.3812,0.7097
1991-03-11,-2.2786,0.167
1991-03-12,0.3723,-0.1749
1991-03-13,-1.872,-0.2689
1991-03-14,2.228,2.1403
1991-03-15,-0.3806,-0.2559
1991-03-18,-1.127,-0.1443
1991-03-19,-0.407,-1.2688
1991-03-20,-1.8499,-0.7239
1991-03-21,0.11,1.3764
1991-03-22,0.0461,-1.386
1991-03-25,-0.3151,-0.3524
1991-03-26,-1.1257,0.2344
1991-03-27,0.6914,1.1076
1991-03-28,0.9279,-0.3287
1991-03-29,0.0,0.0
1991-04-01,0.0,0.0
1991-04-02,1.0389,1.2945
1991-04-03,2.5269,1.2378
1991-04-04,-0.3506,0.2144
1991-04-05,0.9479,0.8239
1991-04-08,-0.4361,-0.605
1991-04-09,0.1367,-0.1067
1991-04-10,-1.278,-0.3324
1991-04-11,0.2228,0.5082
1991-04-12,1.1352,-0.2173
1991-04-15,1.1547,0.6611
1991-04-16,0.1211,-0.9163
1991-04-17,1.2767,1.0121
1991-04-18,-0.6201,-0.2593
1991-04-19,-0.8917,-0.7209
1991-04-22,-1.7169,-1.1627
1991-04-23,1.5993,0.5219
1991-04-24,0.4183,-0.6071
1991-04-25,1.0426,-0.2612
1991-04-26,0.2073,-0.4351
1991-04-29,-0.2174,1.0885
1991-04-30,-0.8943,-0.4803
1991-05-01,0.0,0.8929
1991-05-02,1.5102,0.889
1991-05-03,0.1104,-0.3161
1991-05-06,-0.4811,0.0
1991-05-07,0.2137,0.7056
1991-05-08,-1.24,-0.6731
1991-05-09,0.0,0.7292
1991-05-10,0.8306,-0.6885
1991-05-13,-0.6004,-1.4935
1991-05-14,-0.7698,-0.9209
1991-05-15,-0.5099,-0.1745
1991-05-16,0.4861,0.5083
1991-05-17,0.0494,-0.7282
1991-05-20,0.0,0.5175
1991-05-21,1.1589,0.6527
1991-05-22,1.8728,-0.6767
1991-05-23,0.3047,0.6853
1991-05-24,1.1593,-0.4712
1991-05-27,0.573,0.0
1991-05-28,0.041,0.348
1991-05-29,-0.0363,0.5323
1991-05-30,0.0,-0.0682
1991-05-31,1.3428,0.3332
1991-06-03,-0.5868,0.6521
1991-06-04,-0.5153,-0.3895
1991-06-05,1.6246,0.6185
1991-06-06,-0.5015,0.1507
1991-06-07,0.321,-0.7524
1991-06-10,-0.2761,0.2234
1991-06-11,0.6382,1.2222
1991-06-12,-0.8719,-0.881
1991-06-13,-0.4827,-0.2222
1991-06-14,0.4254,0.3062
1991-06-17,0.0729,0.0674
1991-06-18,-0.3321,-0.317
1991-06-19,-0.7308,-1.244
1991-06-20,0.2377,-0.1932
1991-06-21,1.4718,0.3065
1991-06-24,-1.1858,-1.1739
1991-06-25,-0.0053,0.118
1991-06-26,-1.1428,-0.9711
1991-06-27,-0.3618,0.6236
1991-06-28,-2.6355,-1.5372
1991-07-01,0.1862,1.1926
1991-07-02,-0.9045,0.6793
1991-07-03,0.2428,-0.4878
1991-07-04,0.1053,0.9068
1991-07-05,0.1733,0.5789
1991-07-08,-0.8567,-0.7204
1991-07-09,1.4074,0.8554
1991-07-10,0.4368,0.824
1991-07-11,0.1902,0.0837
1991-07-12,0.4219,-0.5218
1991-07-15,0.11,1.4055
1991-07-16,-0.1652,0.9595
1991-07-17,-1.1157,0.1643
1991-07-18,-0.4417,-0.5349
1991-07-19,0.3497,-0.2277
1991-07-22,-0.0591,0.6689
1991-07-23,0.6106,1.1491
1991-07-24,-0.6889,-0.2859
1991-07-25,-0.3891,-0.0349
1991-07-26,-0.603,0.376
1991-07-29,-0.0044,0.2201
1991-07-30,0.583,0.0231
1991-07-31,0.457,-0.262
1991-08-01,0.0154,0.112
1991-08-02,-0.4437,0.3858
1991-08-05,0.4129,-0.6265
1991-08-06,-0.6245,-0.468
1991-08-07,1.2116,0.9365
1991-08-08,-0.0748,0.1232
1991-08-09,0.1227,-1.1497
1991-08-12,-0.3768,-0.0506
1991-08-13,1.1476,0.6033
1991-08-14,0.3326,0.9246
1991-08-15,0.2485,0.322
1991-08-16,-0.058,0.1452
1991-08-19,-9.3992,-3.0713
1991-08-20,1.936,0.555
1991-08-21,2.8744,1.8516
1991-08-22,3.8203,0.8109
1991-08-23,-0.2201,0.6748
1991-08-26,1.6562,0.0
1991-08-27,-0.4274,-0.7915
1991-08-28,0.0231,0.168
1991-08-29,0.4856,0.5335
1991-08-30,-0.302,0.2843
1991-09-02,-0.0024,1.2813
1991-09-03,0.3139,-0.3956
1991-09-04,-0.4669,-0.1649
1991-09-05,-0.0449,-0.0488
1991-09-06,-0.0601,0.1539
1991-09-09,-0.797,-0.5324
1991-09-10,-0.2413,-0.8443
1991-09-11,-0.0571,-0.1596
1991-09-12,0.1922,0.5825
1991-09-13,0.3862,-0.6094
1991-09-16,-0.4806,-0.7541
1991-09-17,0.2945,-0.4451
1991-09-18,-0.3964,-0.4163
1991-09-19,-0.4527,0.1974
1991-09-20,-0.2857,0.4481
1991-09-23,-0.1182,-0.7999
1991-09-24,0.7725,-0.1124
1991-09-25,-0.075,0.8228
1991-09-26,-0.3335,-0.0847
1991-09-27,-0.7315,0.131
1991-09-30,-0.069,0.8734
1991-10-01,0.1612,0.9116
1991-10-02,-0.1429,-0.0529
1991-10-03,0.0,-0.7034
1991-10-04,-0.3478,-0.0381
1991-10-07,-0.816,-1.0821
1991-10-08,-0.6263,0.1271
1991-10-09,-0.7278,-0.5924
1991-10-10,0.0466,-0.5147
1991-10-11,0.03,-0.6146
1991-10-14,0.167,0.7632
1991-10-15,0.8911,0.0855
1991-10-16,-0.9419,0.0893
1991-10-17,-0.3567,0.3761
1991-10-18,-0.0805,0.479
1991-10-21,0.6032,-0.9765
1991-10-22,0.5106,-0.629
1991-10-23,0.4542,0.0625
1991-10-24,-0.5592,-1.2807
1991-10-25,-0.442,-0.5379
1991-10-28,0.3041,1.7418
1991-10-29,0.8841,-0.2032
1991-10-30,-0.4979,0.9321
1991-10-31,-0.0486,-0.4307
1991-11-01,-0.5379,-0.643
1991-11-04,-0.2123,-0.8511
1991-11-05,0.3764,0.5182
1991-11-06,-0.1205,-0.2637
1991-11-07,0.2655,0.1499
1991-11-08,1.7625,0.8274
1991-11-11,0.1743,-0.1602
1991-11-12,0.7582,0.8063
1991-11-13,0.124,-1.126
1991-11-14,-0.1398,0.593
1991-11-15,0.5188,-0.5856
1991-11-18,-1.0704,-1.716
1991-11-19,-0.799,-1.5902
1991-11-20,0.0,0.3857
1991-11-21,-0.0594,-0.368
1991-11-22,0.1352,-0.6982
1991-11-25,-0.6936,0.4047
1991-11-26,0.8627,0.6229
1991-11-27,-1.0425,-0.9711
1991-11-28,0.1261,-0.7722
1991-11-29,-1.3594,-0.3459
1991-12-02,-1.3488,-0.219
1991-12-03,0.0906,0.2195
1991-12-04,0.9128,0.1487
1991-12-05,-0.483,-0.6931
1991-12-06,0.3064,-0.7603
1991-12-09,0.0558,0.875
1991-12-10,-0.5093,-0.7304
1991-12-11,-0.4848,-0.4933
1991-12-12,0.1814,1.8108
1991-12-13,0.7728,1.1678
1991-12-16,-0.3497,-0.4405
1991-12-17,0.5177,-0.3237
1991-12-18,0.8213,-0.7933
1991-12-19,-0.7612,-0.9115
1991-12-20,-1.1897,-1.4007
1991-12-23,-0.2313,-0.5386
1991-12-24,0.0,1.6628
1991-12-25,0.0,0.0
1991-12-26,0.0,0.0
1991-12-27,1.5569,1.4385
1991-12-30,0.9203,0.0537
1991-12-31,0.0,3.0207
1992-01-01,0.0,0.0
1992-01-02,1.5146,-0.012
1992-01-03,0.1086,0.4533
1992-01-06,-0.0187,-0.4353
1992-01-07,-0.678,-0.4131
1992-01-08,-0.8616,-0.6364
1992-01-09,0.6987,1.2484
1992-01-10,1.6323,-0.8007
1992-01-13,0.4308,0.4924
1992-01-14,0.3611,1.0522
1992-01-15,2.393,0.8266
1992-01-16,-0.0696,0.1774
1992-01-17,0.2791,-0.1928
1992-01-20,0.3698,0.3233
1992-01-21,0.4841,-0.0589
1992-01-22,-0.308,-0.8414
1992-01-23,-0.6267,0.1308
1992-01-24,-0.2875,-0.59
1992-01-27,1.1299,1.1751
1992-01-28,-0.0297,0.4764
1992-01-29,-0.6346,-0.2155
1992-01-30,0.5088,0.1689
1992-01-31,0.3915,0.7997
1992-02-03,0.0901,-0.4278
1992-02-04,-0.7466,-0.1328
1992-02-05,0.6096,-0.3794
1992-02-06,-0.3255,-0.5025
1992-02-07,0.2611,-0.6747
1992-02-10,-0.2011,0.8422
1992-02-11,0.0844,-0.0512
1992-02-12,-0.275,-0.5282
1992-02-13,0.1471,-0.0436
1992-02-14,-0.292,-0.3449
1992-02-17,0.2738,1.078
1992-02-18,0.828,0.5864
1992-02-19,-0.4248,-0.7512
1992-02-20,0.9118,0.2641
1992-02-21,0.8484,-0.0432
1992-02-24,0.6678,0.6844
1992-02-25,-0.3933,-0.504
1992-02-26,0.8692,0.7146
1992-02-27,0.727,-0.117
1992-02-28,-0.2726,0.0039
1992-03-02,0.157,-0.3044
1992-03-03,0.8834,0.4346
1992-03-04,-0.2416,-0.2729
1992-03-05,0.3269,-0.7856
1992-03-06,-1.0681,-0.2049
1992-03-09,0.2463,0.6948
1992-03-10,0.0166,0.9448
1992-03-11,-0.4067,-2.0351
