Date,ln std,ln std(-1),ln std(-2),ln VIX(-1),ln VIX(-2),R(-1),R(-2)
1990-05-07,2.30149,2.45511,2.42041,3.09241,3.09241,2.20231,1.41607
1990-06-07,2.46107,2.30149,2.45511,2.87074,3.09241,-0.16418,2.20231
1990-07-10,2.55185,2.46107,2.30149,2.82613,2.87074,6.64259,-0.16418
1990-08-09,2.81265,2.55185,2.46107,2.8285,2.82613,-1.83395,6.64259
1990-09-11,3.11561,2.81265,2.55185,3.19417,2.8285,-4.64249,-1.83395
1990-10-11,3.02304,3.11561,2.81265,3.34568,3.19417,-5.5598,-4.64249
1990-11-12,2.99863,3.02304,3.11561,3.52577,3.34568,-7.96785,-5.5598
1990-12-13,2.47446,2.99863,3.02304,3.24259,3.52577,8.1297,-7.96785
1991-01-16,2.49956,2.47446,2.99863,3.13767,3.24259,3.08627,8.1297
1991-02-15,2.92205,2.49956,2.47446,3.50255,3.13767,-3.99891,3.08627
1991-03-21,2.54237,2.92205,2.49956,2.974,3.50255,16.72834,-3.99891
1991-04-23,2.72738,2.54237,2.92205,2.82494,2.974,-0.76071,16.72834
1991-05-23,2.58029,2.72738,2.54237,2.83439,2.82494,4.14098,-0.76071
1991-06-25,2.53842,2.58029,2.72738,2.77944,2.83439,-1.78122,4.14098
1991-07-26,2.40929,2.53842,2.58029,2.882,2.77944,-1.14946,-1.78122
1991-08-27,2.72393,2.40929,2.53842,2.73761,2.882,2.77351,-1.14946
1991-09-27,2.04736,2.72393,2.40929,2.73826,2.73761,3.18431,2.77351
1991-10-29,2.42948,2.04736,2.72393,2.79178,2.73826,-1.8216,3.18431
1991-11-29,2.71381,2.42948,2.04736,2.74406,2.79178,1.44597,-1.8216
1992-01-02,2.58222,2.71381,2.42948,3.00865,2.74406,-4.15347,1.44597
1992-02-03,2.29527,2.58222,2.71381,2.9418,3.00865,11.20409,-4.15347
1992-03-05,2.38547,2.29527,2.58222,2.90142,2.9418,-1.85256,11.20409
1992-04-06,2.0653,2.38547,2.29527,2.91615,2.90142,-0.73743,-1.85256
1992-05-07,2.60098,2.0653,2.38547,2.81661,2.91615,-0.22632,-0.73743
1992-06-09,2.20344,2.60098,2.0653,2.80578,2.81661,2.52965,-0.22632
1992-07-10,2.34849,2.20344,2.60098,2.77071,2.80578,-1.39233,2.52965
1992-08-11,2.08412,2.34849,2.20344,2.6174,2.77071,1.11203,-1.39233
1992-09-11,2.01194,2.08412,2.34849,2.71403,2.6174,1.03227,1.11203
1992-10-13,2.52528,2.01194,2.08412,2.52333,2.71403,0.16233,1.03227
1992-11-12,1.99184,2.52528,2.01194,2.8848,2.52333,-2.45007,0.16233
1992-12-15,1.8207,1.99184,2.52528,2.66514,2.8848,3.31542,-2.45007
1993-01-18,2.05562,1.8207,1.99184,2.5185,2.66514,2.29385,3.31542
1993-02-18,2.39577,2.05562,1.8207,2.44148,2.5185,0.98712,2.29385
1993-03-22,2.39056,2.39577,2.05562,2.7447,2.44148,-1.13085,0.98712
1993-04-22,2.32498,2.39056,2.39577,2.61447,2.7447,3.93147,-1.13085
1993-05-24,2.30409,2.32498,2.39056,2.54003,2.61447,-2.09856,3.93147
1993-06-24,2.1227,2.30409,2.32498,2.64617,2.54003,1.94329,-2.09856
1993-07-27,2.14441,2.1227,2.30409,2.50553,2.64617,-0.30804,1.94329
1993-08-26,1.76223,2.14441,2.1227,2.42834,2.50553,0.36272,-0.30804
1993-09-28,2.00075,1.76223,2.14441,2.49651,2.42834,2.85561,0.36272
1993-10-28,1.80344,2.00075,1.76223,2.50062,2.49651,0.10628,2.85561
1993-11-30,2.08882,1.80344,2.00075,2.47486,2.50062,1.34336,0.10628
1993-12-31,1.70643,2.08882,1.80344,2.62177,2.47486,-1.26996,1.34336
1994-02-01,1.91826,1.70643,2.08882,2.45616,2.62177,1.00912,-1.26996
1994-03-04,2.38459,1.91826,1.70643,2.36556,2.45616,2.82345,1.00912
1994-04-06,2.56072,2.38459,1.91826,2.77259,2.36556,-3.10246,2.82345
1994-05-09,2.32792,2.56072,2.38459,2.85532,2.77259,-3.59126,-3.10246
1994-06-09,2.02988,2.32792,2.56072,2.78254,2.85532,-1.27888,-3.59126
1994-07-12,2.24913,2.02988,2.32792,2.58097,2.78254,3.51329,-1.27888
1994-08-11,1.87386,2.24913,2.02988,2.59525,2.58097,-2.16442,3.51329
1994-09-13,2.13042,1.87386,2.24913,2.49568,2.59525,2.44,-2.16442
1994-10-13,2.4634,2.13042,1.87386,2.62249,2.49568,1.88067,2.44
1994-11-14,2.32314,2.4634,2.13042,2.70136,2.62249,0.05989,1.88067
1994-12-15,2.36998,2.32314,2.4634,2.81421,2.70136,-0.3741,0.05989
1995-01-18,1.72345,2.36998,2.32314,2.5549,2.81421,-2.29594,-0.3741
1995-02-17,1.89199,1.72345,2.36998,2.44842,2.5549,3.15588,-2.29594
