Date,Market
1979-01-02,NaN
1979-01-03,1.1062
1979-01-04,0.7975
1979-01-05,0.5579
1979-01-08,-0.3329
1979-01-09,0.5364
1979-01-10,-0.5638
1979-01-11,0.3341
1979-01-12,0.8375
1979-01-15,0.7605
1979-01-16,-1.2216
1979-01-17,0.0201
1979-01-18,0.2413
1979-01-19,0.0301
1979-01-22,0.1504
1979-01-23,0.7007
1979-01-24,-0.4374
1979-01-25,1.0284
1979-01-26,0.6621
1979-01-29,-0.3043
1979-01-30,-0.4924
1979-01-31,-1.1084
1979-02-01,0.03
1979-02-02,-0.4602
1979-02-05,-1.4171
1979-02-06,-0.0408
1979-02-07,-0.9077
1979-02-08,0.5043
1979-02-09,0.2253
1979-02-12,0.3372
1979-02-13,0.7434
1979-02-14,-0.0606
1979-02-15,-0.1416
1979-02-16,-0.0608
1979-02-20,0.7601
1979-02-21,-0.352
1979-02-22,-0.7469
1979-02-23,-0.5593
1979-02-26,-0.1125
1979-02-27,-1.5767
1979-02-28,0.156
1979-03-01,0.644
1979-03-02,0.0722
1979-03-05,1.1241
1979-03-06,-0.1938
1979-03-07,0.5824
1979-03-08,1.1581
1979-03-09,-0.0402
1979-03-12,0.1306
1979-03-13,0.1706
1979-03-14,-0.1302
1979-03-15,0.1504
1979-03-16,0.8312
1979-03-19,0.3675
1979-03-20,-0.5541
1979-03-21,0.7463
1979-03-22,0.4148
1979-03-23,-0.0689
1979-03-26,-0.5512
1979-03-27,1.4252
1979-03-28,-0.3513
1979-03-29,-0.0881
1979-03-30,-0.4312
1979-04-02,-0.6792
1979-04-03,1.4866
1979-04-04,0.2441
1979-04-05,0.5943
1979-04-06,-0.0775
1979-04-09,-0.3004
1979-04-10,0.4569
1979-04-11,-0.9967
1979-04-12,-0.303
1979-04-16,-0.8627
1979-04-17,0.1187
1979-04-18,0.4544
1979-04-19,-0.413
1979-04-20,-0.0494
1979-04-23,0.3359
1979-04-24,0.6203
1979-04-25,0.2935
1979-04-26,-0.478
1979-04-27,-0.2059
1979-04-30,-0.0393
1979-05-01,-0.0786
1979-05-02,0.0393
1979-05-03,0.0885
1979-05-04,-1.1001
1979-05-07,-1.6586
1979-05-08,0.1515
1979-05-09,0.2924
1979-05-10,-0.9451
1979-05-11,0.0
1979-05-14,-0.4669
1979-05-15,0.0816
1979-05-16,0.2853
1979-05-17,1.5444
1979-05-18,-0.01
1979-05-21,0.2101
1979-05-22,0.3695
1979-05-23,-0.6169
1979-05-24,0.04
1979-05-25,0.2902
1979-05-29,-0.1696
1979-05-30,-0.9395
1979-05-31,-0.0303
1979-06-01,0.0908
1979-06-04,0.1513
1979-06-05,1.3089
1979-06-06,0.6758
1979-06-07,0.4837
1979-06-08,-0.2947
1979-06-11,0.4138
1979-06-12,0.9224
1979-06-13,-0.525
1979-06-14,-0.1075
1979-06-15,-0.1076
1979-06-18,-0.5191
1979-06-19,0.0197
1979-06-20,0.0492
1979-06-21,0.4526
1979-06-22,0.5387
1979-06-25,-0.5359
1979-06-26,-0.4212
1979-06-27,0.6
1979-06-28,0.5182
1979-06-29,0.107
1979-07-02,-0.894
1979-07-03,0.098
1979-07-05,0.333
1979-07-06,1.1618
1979-07-09,0.8203
1979-07-10,-0.2584
1979-07-11,-0.5374
1979-07-12,-0.9166
1979-07-13,-0.3603
1979-07-16,0.4105
1979-07-17,-0.8857
1979-07-18,-0.1375
1979-07-19,-0.0787
1979-07-20,0.2067
1979-07-23,-0.2259
1979-07-24,0.3741
1979-07-25,1.0886
1979-07-26,0.0194
1979-07-27,0.0
1979-07-30,0.0485
1979-07-31,0.6398
1979-08-01,0.3468
1979-08-02,-0.0672
1979-08-03,-0.0576
1979-08-06,0.2499
1979-08-07,1.2943
1979-08-08,0.3124
1979-08-09,-0.4624
1979-08-10,0.8626
1979-08-13,0.9586
1979-08-14,0.0931
1979-08-15,0.6789
1979-08-16,-0.1478
1979-08-17,0.1943
1979-08-20,0.4894
1979-08-21,0.0735
1979-08-22,0.0735
1979-08-23,-0.3303
1979-08-24,-0.0276
1979-08-27,0.4972
1979-08-28,-0.11
1979-08-29,0.0
1979-08-30,0.0
1979-08-31,0.2752
1979-09-04,-1.7197
1979-09-05,-0.968
1979-09-06,0.4229
1979-09-07,0.7581
