Date,Market
1979-01-02,NaN
1979-01-03,1.08
1979-01-04,0.7714
1979-01-05,0.5317
1979-01-08,-0.3592
1979-01-09,0.5104
1979-01-10,-0.5898
1979-01-11,0.308
1979-01-12,0.8113
1979-01-15,0.734
1979-01-16,-1.2481
1979-01-17,-0.0064
1979-01-18,0.2147
1979-01-19,0.0037
1979-01-22,0.1241
1979-01-23,0.6744
1979-01-24,-0.4637
1979-01-25,1.0021
1979-01-26,0.6359
1979-01-29,-0.3306
1979-01-30,-0.5184
1979-01-31,-1.1345
1979-02-01,0.004
1979-02-02,-0.4862
1979-02-05,-1.4429
1979-02-06,-0.0667
1979-02-07,-0.9337
1979-02-08,0.4784
1979-02-09,0.1991
1979-02-12,NaN
1979-02-13,0.7173
1979-02-14,-0.0867
1979-02-15,-0.1676
1979-02-16,-0.0869
1979-02-20,0.7337
1979-02-21,-0.3785
1979-02-22,-0.7734
1979-02-23,-0.5859
1979-02-26,-0.1391
1979-02-27,-1.6034
1979-02-28,0.1295
1979-03-01,0.6175
1979-03-02,0.0458
1979-03-05,1.0976
1979-03-06,-0.2202
1979-03-07,0.5559
1979-03-08,1.1316
1979-03-09,-0.0669
1979-03-12,0.1039
1979-03-13,0.1438
1979-03-14,-0.157
1979-03-15,0.1238
1979-03-16,0.8044
1979-03-19,0.3408
1979-03-20,-0.5809
1979-03-21,0.7194
1979-03-22,0.3879
1979-03-23,-0.0957
1979-03-26,-0.578
1979-03-27,1.3985
1979-03-28,-0.3778
1979-03-29,-0.1145
1979-03-30,-0.4578
1979-04-02,-0.706
1979-04-03,1.4599
1979-04-04,0.2175
1979-04-05,0.5676
1979-04-06,-0.1045
1979-04-09,-0.3275
1979-04-10,0.4295
1979-04-11,-1.024
1979-04-12,-0.3303
1979-04-16,-0.8899
1979-04-17,0.092
1979-04-18,0.4283
1979-04-19,-0.4391
1979-04-20,-0.0755
1979-04-23,0.31
1979-04-24,0.5947
1979-04-25,0.2681
1979-04-26,-0.5037
1979-04-27,-0.233
1979-04-30,-0.0662
1979-05-01,-0.1053
1979-05-02,0.0125
1979-05-03,0.0615
1979-05-04,-1.1273
1979-05-07,-1.6857
1979-05-08,0.1243
1979-05-09,0.2653
1979-05-10,-0.9722
1979-05-11,-0.0269
1979-05-14,-0.4938
1979-05-15,0.0546
1979-05-16,0.2584
1979-05-17,1.5175
1979-05-18,-0.0373
1979-05-21,0.1827
1979-05-22,0.3422
1979-05-23,-0.644
1979-05-24,0.0132
1979-05-25,0.2634
1979-05-29,-0.1965
1979-05-30,NaN
1979-05-31,-0.0572
1979-06-01,0.0641
1979-06-04,0.1244
1979-06-05,1.2824
1979-06-06,0.6495
1979-06-07,0.4576
1979-06-08,-0.3205
1979-06-11,0.3884
1979-06-12,0.8974
1979-06-13,-0.55
1979-06-14,-0.1325
1979-06-15,-0.1333
1979-06-18,-0.5443
1979-06-19,-0.0055
1979-06-20,0.0241
1979-06-21,0.4274
1979-06-22,0.5135
1979-06-25,-0.5604
1979-06-26,-0.4458
1979-06-27,0.5753
1979-06-28,0.4932
1979-06-29,0.0819
1979-07-02,-0.9191
1979-07-03,0.0726
1979-07-05,0.3072
1979-07-06,1.1359
1979-07-09,0.7943
1979-07-10,-0.2846
1979-07-11,-0.5635
1979-07-12,-0.9427
1979-07-13,-0.3864
1979-07-16,0.3842
1979-07-17,-0.9118
1979-07-18,-0.1635
1979-07-19,-0.1047
1979-07-20,0.1802
1979-07-23,-0.2524
1979-07-24,0.3477
1979-07-25,1.0626
1979-07-26,-0.0063
1979-07-27,-0.0259
1979-07-30,0.023
1979-07-31,0.614
1979-08-01,0.321
1979-08-02,-0.0934
1979-08-03,-0.084
1979-08-06,0.2236
1979-08-07,1.2679
1979-08-08,0.2859
1979-08-09,-0.4888
1979-08-10,0.836
1979-08-13,0.932
1979-08-14,0.0664
1979-08-15,0.6521
