y,slope(-1),Rme(-1),rec(-1),c
1.0,-0.35519,-0.081,1.0,1.0
1.0,-0.29604,0.0513,1.0,1.0
1.0,0.19654,-0.0106,1.0,1.0
1.0,0.47463,-0.11,1.0,1.0
1.0,0.53041,-0.0692,1.0,1.0
1.0,0.62834,-0.0579,1.0,1.0
1.0,0.63129,0.0693,1.0,1.0
1.0,0.65575,0.0449,1.0,1.0
1.0,0.61696,0.0418,1.0,1.0
1.0,0.81509,-0.0228,1.0,1.0
0.0,1.15916,0.046,1.0,1.0
0.0,1.274,0.0572,0.0,1.0
0.0,1.55789,0.0484,0.0,1.0
0.0,2.13264,0.0141,0.0,1.0
0.0,2.02807,0.0413,0.0,1.0
0.0,1.61595,0.0315,0.0,1.0
0.0,1.8102,-0.0398,0.0,1.0
0.0,1.31512,-0.001,0.0,1.0
0.0,0.84321,-0.045,0.0,1.0
0.0,1.11821,0.0379,0.0,1.0
0.0,0.95774,-0.0085,0.0,1.0
0.0,1.13418,-0.0442,0.0,1.0
0.0,1.24333,-0.0046,0.0,1.0
0.0,1.50831,0.0871,0.0,1.0
0.0,2.10286,0.0249,0.0,1.0
0.0,2.25576,0.0287,0.0,1.0
0.0,1.75154,0.0063,0.0,1.0
0.0,1.75345,0.0029,0.0,1.0
0.0,1.80809,0.0125,0.0,1.0
0.0,1.55678,-0.0243,0.0,1.0
0.0,1.40511,-0.008,0.0,1.0
0.0,1.44873,0.0326,0.0,1.0
0.0,1.18124,-0.0114,0.0,1.0
0.0,1.11552,0.0052,0.0,1.0
0.0,0.96803,0.046,0.0,1.0
0.0,0.83051,0.0062,0.0,1.0
0.0,0.60006,-0.0329,0.0,1.0
0.0,0.55595,-0.0485,0.0,1.0
0.0,-0.06909,-0.013,0.0,1.0
0.0,-0.11675,-0.0568,0.0,1.0
0.0,-0.04981,-0.0294,0.0,1.0
0.0,-0.62378,-0.0157,0.0,1.0
0.0,-1.31626,0.0505,0.0,1.0
0.0,-1.6059,-0.0382,0.0,1.0
0.0,-1.69059,0.0475,0.0,1.0
0.0,-0.8184,-0.0083,0.0,1.0
1.0,-1.52706,-0.1275,0.0,1.0
1.0,-1.10978,0.0061,1.0,1.0
1.0,-0.96758,-0.0017,1.0,1.0
1.0,-0.29279,-0.0047,1.0,1.0
1.0,-0.94572,-0.0281,1.0,1.0
1.0,-1.16638,-0.0529,1.0,1.0
1.0,-1.183,-0.0468,1.0,1.0
1.0,-0.93428,-0.0283,1.0,1.0
1.0,-0.49984,-0.0805,1.0,1.0
1.0,-1.48221,-0.0935,1.0,1.0
1.0,-0.88913,-0.1177,1.0,1.0
1.0,-0.2124,0.161,1.0,1.0
1.0,-0.19222,-0.0451,1.0,1.0
1.0,-0.00702,-0.0345,1.0,1.0
1.0,0.82096,0.1366,1.0,1.0
1.0,1.46983,0.0556,1.0,1.0
0.0,1.78594,0.0266,1.0,1.0
0.0,1.86339,0.0423,0.0,1.0
0.0,2.12222,0.0519,0.0,1.0
0.0,1.91668,0.0483,0.0,1.0
0.0,1.19825,-0.0659,0.0,1.0
0.0,1.06488,-0.0285,0.0,1.0
0.0,1.1129,-0.0426,0.0,1.0
0.0,1.52631,0.0531,0.0,1.0
0.0,1.89993,0.0264,0.0,1.0
0.0,1.8029,-0.016,0.0,1.0
0.0,2.28176,0.1216,0.0,1.0
0.0,2.26737,0.0032,0.0,1.0
0.0,1.96846,0.0232,0.0,1.0
0.0,2.07403,-0.0149,0.0,1.0
0.0,1.94361,-0.0134,0.0,1.0
0.0,1.75437,0.0405,0.0,1.0
0.0,1.96999,-0.0107,0.0,1.0
0.0,2.04613,-0.0056,0.0,1.0
0.0,1.98033,0.0207,0.0,1.0
0.0,2.05603,-0.0242,0.0,1.0
0.0,2.12651,0.0036,0.0,1.0
0.0,2.10868,0.0565,0.0,1.0
0.0,2.10254,-0.0405,0.0,1.0
0.0,2.19943,-0.0194,0.0,1.0
0.0,2.28484,-0.0137,0.0,1.0
0.0,2.28203,0.0015,0.0,1.0
0.0,1.96075,-0.0145,0.0,1.0
0.0,1.78298,0.0471,0.0,1.0
0.0,1.63702,-0.0169,0.0,1.0
0.0,1.2661,-0.0175,0.0,1.0
0.0,0.99705,-0.0027,0.0,1.0
0.0,0.76843,-0.0438,0.0,1.0
0.0,0.84454,0.04,0.0,1.0
0.0,0.9569,0.0027,0.0,1.0
0.0,0.90231,-0.0601,0.0,1.0
0.0,0.92645,-0.0138,0.0,1.0
0.0,1.04757,0.0285,0.0,1.0
0.0,1.04764,0.0788,0.0,1.0
0.0,0.93732,0.0176,0.0,1.0
0.0,0.82499,-0.0169,0.0,1.0
0.0,0.77689,0.0511,0.0,1.0
0.0,0.63627,0.0375,0.0,1.0
0.0,0.01336,-0.0143,0.0,1.0
0.0,-0.35575,-0.1191,0.0,1.0
0.0,-0.90509,0.0271,0.0,1.0
0.0,-0.84431,0.0088,0.0,1.0
0.0,-0.87443,0.0423,0.0,1.0
0.0,-0.81298,-0.0356,0.0,1.0
0.0,-0.8561,0.0568,0.0,1.0
0.0,-0.82162,-0.0006,0.0,1.0
0.0,-0.80874,-0.0221,0.0,1.0
0.0,-0.62901,0.0385,0.0,1.0
0.0,-0.77651,0.0082,0.0,1.0
0.0,-0.9591,0.0553,0.0,1.0
0.0,-1.41224,-0.0082,0.0,1.0
0.0,-2.02995,-0.081,0.0,1.0
0.0,-1.87797,0.0521,0.0,1.0
0.0,-2.13383,0.0179,0.0,1.0
1.0,-1.76311,0.0551,0.0,1.0
1.0,-1.37299,-0.0122,1.0,1.0
1.0,-3.31938,-0.129,1.0,1.0
1.0,-2.2334,0.0397,1.0,1.0
1.0,0.94962,0.0526,1.0,1.0
1.0,1.96338,0.0306,1.0,1.0
0.0,1.61572,0.0649,1.0,1.0
0.0,1.0036,0.018,0.0,1.0
0.0,0.18224,0.0219,0.0,1.0
0.0,-0.69302,0.0106,0.0,1.0
0.0,-1.7949,0.0959,0.0,1.0
0.0,-2.83456,-0.0452,0.0,1.0
0.0,-2.49327,-0.0504,0.0,1.0
0.0,-1.91292,0.0057,0.0,1.0
0.0,-0.69171,0.0356,0.0,1.0
0.0,-0.8596,-0.0211,0.0,1.0
0.0,-2.39939,0.0011,0.0,1.0
0.0,-1.70732,-0.0236,0.0,1.0
1.0,-1.67031,-0.0154,0.0,1.0
1.0,-1.9051,-0.0704,1.0,1.0
1.0,-0.95131,-0.0717,1.0,1.0
1.0,0.04216,0.0492,1.0,1.0
1.0,1.10362,0.0336,1.0,1.0
1.0,1.16777,-0.0365,1.0,1.0
1.0,0.57877,-0.0324,1.0,1.0
1.0,-0.36762,-0.0586,1.0,1.0
1.0,0.00166,-0.0187,1.0,1.0
1.0,-0.02055,0.0327,1.0,1.0
1.0,0.42027,-0.0399,1.0,1.0
1.0,0.45965,-0.0309,1.0,1.0
1.0,0.99897,-0.0319,1.0,1.0
1.0,2.27078,0.1114,1.0,1.0
1.0,2.15449,0.0129,1.0,1.0
1.0,1.97778,0.113,1.0,1.0
0.0,1.6016,0.0467,1.0,1.0
0.0,1.77634,0.0055,0.0,1.0
0.0,1.93867,0.036,0.0,1.0
0.0,1.86758,0.0259,0.0,1.0
0.0,1.53477,0.0282,0.0,1.0
0.0,1.50667,0.0667,0.0,1.0
0.0,1.57024,0.0052,0.0,1.0
0.0,1.3105,0.0307,0.0,1.0
0.0,1.40889,-0.0407,0.0,1.0
0.0,1.57398,-0.005,0.0,1.0
0.0,1.7636,0.0091,0.0,1.0
0.0,1.99239,-0.0344,0.0,1.0
0.0,2.02451,0.0216,0.0,1.0
0.0,1.90422,-0.0178,0.0,1.0
0.0,1.92477,-0.0192,0.0,1.0
0.0,1.90293,-0.0482,0.0,1.0
0.0,1.83962,0.0063,0.0,1.0
0.0,1.93074,-0.0051,0.0,1.0
0.0,2.13874,-0.0597,0.0,1.0
0.0,2.06557,0.0182,0.0,1.0
0.0,1.87903,-0.0274,0.0,1.0
0.0,1.22041,0.1028,0.0,1.0
0.0,1.18661,-0.008,0.0,1.0
0.0,1.48181,-0.0084,0.0,1.0
0.0,2.03973,-0.0176,0.0,1.0
0.0,2.51854,0.0184,0.0,1.0
0.0,2.69668,0.0799,0.0,1.0
0.0,2.41517,0.0122,0.0,1.0
0.0,2.20728,-0.0084,0.0,1.0
0.0,2.50679,-0.0096,0.0,1.0
0.0,2.57668,0.0509,0.0,1.0
0.0,2.52278,0.0127,0.0,1.0
0.0,2.54685,-0.0074,0.0,1.0
0.0,2.44276,-0.0102,0.0,1.0
0.0,2.52994,-0.0454,0.0,1.0
0.0,2.35097,0.0402,0.0,1.0
0.0,1.96338,0.0648,0.0,1.0
0.0,1.65152,0.0388,0.0,1.0
0.0,1.56707,0.0065,0.0,1.0
0.0,1.16821,0.0713,0.0,1.0
0.0,0.86764,0.0488,0.0,1.0
0.0,0.91916,-0.0131,0.0,1.0
0.0,1.18883,0.0462,0.0,1.0
0.0,1.19109,0.0103,0.0,1.0
0.0,1.1425,-0.0645,0.0,1.0
0.0,1.33575,0.0607,0.0,1.0
0.0,1.79944,-0.086,0.0,1.0
0.0,1.87204,0.0466,0.0,1.0
0.0,1.55232,0.0117,0.0,1.0
0.0,1.27975,-0.0327,0.0,1.0
0.0,1.36327,0.1247,0.0,1.0
0.0,1.36981,0.0439,0.0,1.0
0.0,1.35967,0.0164,0.0,1.0
0.0,1.77068,-0.0211,0.0,1.0
0.0,2.16311,0.0011,0.0,1.0
0.0,2.03049,0.0394,0.0,1.0
0.0,2.31003,0.0385,0.0,1.0
0.0,2.19957,0.0352,0.0,1.0
0.0,2.30662,-0.0259,0.0,1.0
0.0,2.34712,-0.2324,0.0,1.0
0.0,2.25085,-0.0777,0.0,1.0
0.0,2.19749,0.0681,0.0,1.0
0.0,2.01522,0.0421,0.0,1.0
0.0,1.91596,0.0475,0.0,1.0
0.0,2.08402,-0.0227,0.0,1.0
0.0,2.10185,0.0056,0.0,1.0
0.0,2.08592,-0.0029,0.0,1.0
0.0,1.77743,0.0479,0.0,1.0
0.0,1.621,-0.0125,0.0,1.0
0.0,1.3969,-0.0331,0.0,1.0
0.0,1.09955,0.033,0.0,1.0
0.0,0.86291,0.0115,0.0,1.0
0.0,0.64281,-0.0229,0.0,1.0
0.0,0.413,0.0149,0.0,1.0
0.0,0.25171,0.061,0.0,1.0
0.0,0.13091,-0.0225,0.0,1.0
0.0,-0.00187,0.0157,0.0,1.0
0.0,0.03787,0.0433,0.0,1.0
0.0,-0.01042,0.0335,0.0,1.0
0.0,-0.05463,-0.0135,0.0,1.0
0.0,0.0313,0.072,0.0,1.0
0.0,-0.01796,0.0144,0.0,1.0
0.0,0.05601,-0.0076,0.0,1.0
0.0,0.01185,-0.0367,0.0,1.0
0.0,0.01465,0.0103,0.0,1.0
0.0,0.05816,0.0116,0.0,1.0
0.0,0.2682,-0.0785,0.0,1.0
0.0,0.35527,0.0111,0.0,1.0
0.0,0.31286,0.0183,0.0,1.0
0.0,0.50707,-0.0336,0.0,1.0
0.0,0.56108,0.0842,0.0,1.0
0.0,0.43585,-0.0109,0.0,1.0
1.0,0.53876,-0.019,0.0,1.0
1.0,0.93922,-0.1015,1.0,1.0
1.0,1.12899,-0.0612,1.0,1.0
1.0,1.1357,-0.0192,1.0,1.0
1.0,0.96406,0.0635,1.0,1.0
1.0,1.0134,0.0246,1.0,1.0
1.0,1.44958,0.0469,1.0,1.0
1.0,1.58272,0.0719,1.0,1.0
0.0,1.83366,0.0265,1.0,1.0
0.0,1.98199,-0.0028,0.0,1.0
0.0,2.11119,0.0365,0.0,1.0
0.0,2.1633,-0.0494,0.0,1.0
0.0,2.20479,0.0424,0.0,1.0
0.0,2.17682,0.0232,0.0,1.0
0.0,2.08675,-0.0159,0.0,1.0
0.0,2.18795,0.0129,0.0,1.0
0.0,2.52085,-0.0419,0.0,1.0
0.0,2.72878,0.1084,0.0,1.0
0.0,2.90506,-0.0059,0.0,1.0
0.0,3.13368,0.0109,0.0,1.0
0.0,3.06727,-0.0266,0.0,1.0
0.0,3.32462,0.0107,0.0,1.0
0.0,3.362,0.003,0.0,1.0
0.0,3.22068,-0.0234,0.0,1.0
0.0,3.3227,0.0377,0.0,1.0
0.0,3.159,-0.0238,0.0,1.0
0.0,3.25133,0.0119,0.0,1.0
0.0,3.33034,0.0102,0.0,1.0
0.0,3.29027,0.0413,0.0,1.0
0.0,3.17649,0.0153,0.0,1.0
0.0,3.23894,0.0093,0.0,1.0
0.0,2.99003,0.0012,0.0,1.0
0.0,2.74633,0.023,0.0,1.0
0.0,2.8175,-0.0305,0.0,1.0
0.0,2.78278,0.0289,0.0,1.0
0.0,2.57628,0.0031,0.0,1.0
0.0,2.47494,-0.0034,0.0,1.0
0.0,2.37216,0.0371,0.0,1.0
0.0,2.14952,-0.0012,0.0,1.0
0.0,2.06058,0.0141,0.0,1.0
0.0,2.28903,-0.0189,0.0,1.0
0.0,2.36656,0.0165,0.0,1.0
0.0,2.42829,0.0287,0.0,1.0
0.0,2.35379,-0.0255,0.0,1.0
