Date,Re
1979-01-02,0.635
1979-01-03,1.405
1979-01-04,1.285
1979-01-05,1.295
1979-01-08,-0.025
1979-01-09,0.755
1979-01-10,0.035
1979-01-11,0.395
1979-01-12,1.015
1979-01-15,0.375
1979-01-16,-0.565
1979-01-17,-0.185
1979-01-18,0.725
1979-01-19,0.485
1979-01-22,0.075
1979-01-23,0.555
1979-01-24,-0.235
1979-01-25,0.665
1979-01-26,0.625
1979-01-29,-0.035
1979-01-30,-0.025
1979-01-31,-0.605
1979-02-01,-0.058
1979-02-02,0.082
1979-02-05,-1.208
1979-02-06,-0.238
1979-02-07,-1.068
1979-02-08,0.552
1979-02-09,0.472
1979-02-12,-0.098
1979-02-13,0.752
1979-02-14,-0.008
1979-02-15,0.182
1979-02-16,0.532
1979-02-20,0.232
1979-02-21,0.062
1979-02-22,-0.198
1979-02-23,-0.218
1979-02-26,-0.088
1979-02-27,-1.838
1979-02-28,-0.268
1979-03-01,0.453
1979-03-02,0.283
1979-03-05,0.523
1979-03-06,-0.077
1979-03-07,0.593
1979-03-08,0.783
1979-03-09,0.243
1979-03-12,0.163
1979-03-13,0.503
1979-03-14,-0.007
1979-03-15,0.243
1979-03-16,0.563
1979-03-19,0.293
1979-03-20,-0.237
1979-03-21,0.533
1979-03-22,0.633
1979-03-23,0.423
1979-03-26,-0.327
1979-03-27,0.493
1979-03-28,-0.007
1979-03-29,0.373
1979-03-30,0.373
1979-04-02,-0.32
1979-04-03,0.83
1979-04-04,0.54
1979-04-05,0.55
1979-04-06,0.24
1979-04-09,-0.22
1979-04-10,0.14
1979-04-11,-0.35
1979-04-12,0.26
1979-04-16,-0.7
1979-04-17,-0.19
1979-04-18,0.61
1979-04-19,0.07
1979-04-20,0.21
1979-04-23,0.08
1979-04-24,0.41
1979-04-25,0.37
1979-04-26,-0.12
1979-04-27,-0.07
1979-04-30,-0.08
1979-05-01,-0.007
1979-05-02,0.063
1979-05-03,0.123
1979-05-04,-0.567
1979-05-07,-2.297
1979-05-08,-0.797
1979-05-09,0.493
1979-05-10,-0.457
1979-05-11,0.033
1979-05-14,-0.297
1979-05-15,-0.037
1979-05-16,-0.017
1979-05-17,0.803
1979-05-18,0.453
1979-05-21,0.223
1979-05-22,0.493
1979-05-23,0.063
1979-05-24,0.193
1979-05-25,0.383
1979-05-29,-0.027
1979-05-30,-0.677
1979-05-31,-0.187
1979-06-01,0.192
1979-06-04,0.212
1979-06-05,0.622
1979-06-06,0.372
1979-06-07,0.412
1979-06-08,0.462
1979-06-11,0.002
1979-06-12,0.542
1979-06-13,-0.008
1979-06-14,-0.148
1979-06-15,0.212
1979-06-18,-0.308
1979-06-19,0.082
1979-06-20,0.412
1979-06-21,0.452
1979-06-22,0.382
1979-06-25,-0.188
1979-06-26,-0.418
1979-06-27,0.532
1979-06-28,0.442
1979-06-29,0.032
1979-07-02,-0.626
1979-07-03,0.054
1979-07-05,0.424
1979-07-06,0.584
1979-07-09,0.354
1979-07-10,-0.196
1979-07-11,-0.196
1979-07-12,-0.116
1979-07-13,-0.206
1979-07-16,0.124
1979-07-17,-0.666
1979-07-18,-0.766
1979-07-19,0.334
1979-07-20,0.204
1979-07-23,-0.136
1979-07-24,0.154
1979-07-25,0.574
1979-07-26,0.294
1979-07-27,0.334
1979-07-30,0.074
1979-07-31,0.404
1979-08-01,0.367
1979-08-02,0.387
1979-08-03,0.117
1979-08-06,0.037
1979-08-07,0.517
1979-08-08,0.257
1979-08-09,-0.003
1979-08-10,0.497
1979-08-13,0.617
1979-08-14,0.217
1979-08-15,0.657
1979-08-16,-0.053
1979-08-17,0.317
1979-08-20,0.197
1979-08-21,0.187
1979-08-22,0.347
1979-08-23,0.197
1979-08-24,0.047
1979-08-27,0.387
1979-08-28,0.087
1979-08-29,0.267
1979-08-30,0.167
1979-08-31,0.557
1979-09-04,-1.033
1979-09-05,-1.883
1979-09-06,0.467
1979-09-07,0.537
1979-09-10,0.017
1979-09-11,-0.483
1979-09-12,0.357
1979-09-13,0.407
1979-09-14,0.677
1979-09-17,-0.013
1979-09-18,-0.573
1979-09-19,0.037
1979-09-20,0.327
1979-09-21,0.257
1979-09-24,-0.433
1979-09-25,-0.373
1979-09-26,0.347
1979-09-27,0.097
1979-09-28,-0.123
1979-10-01,-0.248
1979-10-02,0.372
1979-10-03,0.522
1979-10-04,0.602
1979-10-05,0.732
1979-10-08,-0.818
1979-10-09,-3.968
1979-10-10,-4.888
1979-10-11,0.652
1979-10-12,0.732
1979-10-15,-1.368
1979-10-16,-0.228
1979-10-17,0.432
1979-10-18,0.032
1979-10-19,-1.908
1979-10-22,-2.908
1979-10-23,-0.648
1979-10-24,0.112
1979-10-25,-0.208
1979-10-26,0.472
1979-10-29,0.132
1979-10-30,0.872
1979-10-31,0.052
1979-11-01,0.373
1979-11-02,0.533
1979-11-05,-0.417
1979-11-06,-0.187
1979-11-07,-1.147
1979-11-08,0.233
1979-11-09,0.943
1979-11-12,0.773
1979-11-13,-0.027
1979-11-14,0.173
1979-11-15,0.683
1979-11-16,-0.117
1979-11-19,0.303
1979-11-20,-0.157
1979-11-21,-0.357
1979-11-23,0.603
1979-11-26,1.373
1979-11-27,0.523
1979-11-28,0.783
1979-11-29,0.773
1979-11-30,0.343
1979-12-03,0.043
1979-12-04,0.543
1979-12-05,0.503
1979-12-06,0.833
1979-12-07,0.543
1979-12-10,0.333
1979-12-11,0.303
1979-12-12,0.433
1979-12-13,0.323
