taxableinc,federaltax,hsiblings,hfathereduc,hmothereduc,siblings,lfp,hours,kidsl6,kids618,age,educ,wage,wage76,hhours,hage,heduc,hwage,faminc,mtr,mothereduc,fathereduc,unemployment,bigcity,exper
12200.0,1494.0,1.0,14.0,16.0,4.0,1.0,1610.0,1.0,0.0,32.0,12.0,3.354,2.65,2708.0,34.0,12.0,4.0288,16310.0,0.7215,12.0,7.0,5.0,0.0,14.0
18000.0,2615.0,8.0,7.0,3.0,0.0,1.0,1656.0,0.0,2.0,30.0,12.0,1.3889,2.65,2310.0,30.0,9.0,8.4416,21800.0,0.6615,7.0,7.0,11.0,1.0,5.0
24000.0,3957.0,4.0,7.0,10.0,2.0,1.0,1980.0,1.0,3.0,35.0,12.0,4.5455,4.04,3072.0,40.0,12.0,3.5807,21040.0,0.6915,12.0,7.0,5.0,0.0,15.0
16400.0,2279.0,6.0,7.0,12.0,5.0,1.0,456.0,0.0,3.0,34.0,12.0,1.0965,3.25,1920.0,53.0,10.0,3.5417,7300.0,0.7815,7.0,7.0,5.0,0.0,6.0
10000.0,1063.0,3.0,7.0,7.0,7.0,1.0,1568.0,1.0,2.0,31.0,14.0,4.5918,3.6,2000.0,32.0,12.0,10.0,27300.0,0.6215,12.0,14.0,9.5,1.0,7.0
6295.0,370.0,8.0,7.0,7.0,4.0,1.0,2032.0,0.0,0.0,54.0,12.0,4.7421,4.7,1040.0,57.0,11.0,6.7106,19495.0,0.6915,14.0,7.0,7.5,1.0,33.0
9952.0,877.0,0.0,7.0,10.0,8.0,1.0,1440.0,0.0,2.0,37.0,16.0,8.3333,5.95,2670.0,37.0,12.0,3.4277,21152.0,0.6915,14.0,7.0,5.0,0.0,11.0
18900.0,2804.0,2.0,7.0,7.0,7.0,1.0,1020.0,0.0,0.0,54.0,12.0,7.8431,9.98,4120.0,53.0,8.0,2.5485,18900.0,0.6915,3.0,3.0,5.0,0.0,35.0
1500.0,0.0,6.0,7.0,7.0,7.0,1.0,1458.0,0.0,2.0,48.0,12.0,2.1262,0.0,1995.0,52.0,4.0,4.2206,20405.0,0.7515,7.0,7.0,3.0,0.0,24.0
22000.0,3246.0,5.0,7.0,7.0,0.0,1.0,1600.0,0.0,2.0,39.0,12.0,4.6875,4.15,2100.0,43.0,12.0,5.7143,20425.0,0.6915,7.0,7.0,5.0,0.0,21.0
30000.0,5517.0,0.0,7.0,7.0,3.0,1.0,1969.0,0.0,1.0,33.0,12.0,4.063,4.3,2450.0,34.0,12.0,9.7959,32300.0,0.5815,12.0,3.0,5.0,0.0,15.0
21950.0,3463.0,3.0,7.0,9.0,2.0,1.0,1960.0,0.0,1.0,42.0,11.0,4.5918,4.58,2375.0,47.0,14.0,8.0,28700.0,0.6215,14.0,7.0,5.0,0.0,14.0
22000.0,3486.0,2.0,12.0,9.0,2.0,1.0,240.0,1.0,2.0,30.0,12.0,2.0833,0.0,2830.0,33.0,16.0,5.3004,15500.0,0.7215,16.0,16.0,5.0,0.0,0.0
9296.0,907.0,3.0,7.0,10.0,7.0,1.0,997.0,0.0,2.0,43.0,12.0,2.2668,3.5,3317.0,46.0,12.0,4.3413,16860.0,0.7215,10.0,10.0,7.5,1.0,14.0
12600.0,1568.0,2.0,12.0,16.0,1.0,1.0,1848.0,0.0,1.0,43.0,10.0,3.6797,3.38,2024.0,45.0,17.0,10.87,31431.0,0.5815,7.0,7.0,7.5,1.0,6.0
25000.0,3952.0,1.0,7.0,7.0,4.0,1.0,1224.0,0.0,3.0,35.0,11.0,1.3472,0.0,1694.0,38.0,12.0,9.1499,19180.0,0.7215,16.0,10.0,7.5,1.0,9.0
5878.0,306.0,3.0,3.0,7.0,2.0,1.0,1400.0,0.0,2.0,43.0,12.0,3.2143,4.0,2156.0,45.0,12.0,6.1224,18600.0,0.6915,10.0,7.0,7.5,1.0,20.0
11100.0,1272.0,8.0,7.0,10.0,2.0,1.0,640.0,0.0,5.0,39.0,12.0,5.175,2.25,2250.0,40.0,12.0,6.1498,19151.0,0.7215,12.0,12.0,7.5,1.0,6.0
25320.0,4262.0,1.0,7.0,12.0,1.0,1.0,2000.0,0.0,0.0,45.0,12.0,2.0,2.3,2024.0,51.0,11.0,6.917,18100.0,0.6915,7.0,7.0,5.0,1.0,23.0
56100.0,14812.0,3.0,12.0,12.0,5.0,1.0,1324.0,0.0,4.0,35.0,12.0,7.5529,3.94,2123.0,40.0,10.0,4.7103,20300.0,0.6915,12.0,7.0,5.0,0.0,9.0
9960.0,1049.0,2.0,7.0,9.0,4.0,1.0,2215.0,0.0,2.0,42.0,16.0,3.5052,3.3,4160.0,48.0,16.0,3.131,30419.0,0.6215,10.0,16.0,7.5,0.0,5.0
8900.0,850.0,7.0,3.0,3.0,5.0,1.0,1680.0,0.0,0.0,30.0,12.0,3.5714,3.8,2000.0,35.0,12.0,4.0,14090.0,0.7215,12.0,10.0,3.0,0.0,11.0
19500.0,2930.0,4.0,3.0,16.0,1.0,1.0,1600.0,0.0,0.0,48.0,13.0,3.25,3.26,2420.0,52.0,17.0,7.2227,22679.0,0.6615,7.0,3.0,5.0,1.0,18.0
19900.0,3014.0,1.0,7.0,7.0,0.0,1.0,800.0,0.0,0.0,45.0,12.0,3.25,2.2,1150.0,53.0,17.0,7.9652,12160.0,0.7215,7.0,7.0,11.0,0.0,15.0
18100.0,2636.0,0.0,7.0,12.0,5.0,1.0,1955.0,1.0,1.0,31.0,12.0,2.1545,2.3,2024.0,31.0,12.0,4.0884,12487.0,0.7515,12.0,7.0,5.0,1.0,4.0
4000.0,26.0,2.0,3.0,7.0,2.0,1.0,660.0,0.0,2.0,43.0,17.0,3.7879,0.0,1904.0,43.0,17.0,14.181,29850.0,0.5815,16.0,14.0,9.5,1.0,21.0
18150.0,2636.0,1.0,7.0,7.0,3.0,1.0,525.0,0.0,0.0,59.0,12.0,4.0,3.18,2448.0,53.0,16.0,6.5359,18100.0,0.6915,3.0,7.0,9.5,1.0,31.0
15000.0,2011.0,1.0,10.0,10.0,4.0,1.0,1904.0,0.0,3.0,32.0,12.0,4.7269,6.07,2000.0,33.0,13.0,8.5,26000.0,0.6615,3.0,7.0,11.0,1.0,9.0
16000.0,2196.0,4.0,7.0,7.0,6.0,1.0,1516.0,1.0,0.0,31.0,17.0,7.2559,6.0,2390.0,30.0,17.0,6.2762,26100.0,0.6215,12.0,12.0,5.0,0.0,7.0
8000.0,679.0,5.0,7.0,7.0,3.0,1.0,346.0,0.0,0.0,42.0,12.0,5.8671,6.39,1920.0,47.0,10.0,5.2083,17730.0,0.7215,12.0,12.0,9.5,0.0,7.0
15500.0,2104.0,5.0,7.0,7.0,3.0,1.0,1040.0,0.0,0.0,50.0,11.0,1.5385,0.0,1840.0,53.0,10.0,2.7821,6719.0,0.7515,7.0,7.0,7.5,1.0,32.0
21600.0,3154.0,1.0,7.0,10.0,5.0,1.0,732.0,0.0,0.0,59.0,16.0,2.459,2.5,3360.0,57.0,17.0,4.9107,18550.0,0.6915,3.0,3.0,14.0,1.0,11.0
11225.0,1291.0,8.0,7.0,9.0,4.0,1.0,1880.0,0.0,2.0,36.0,13.0,5.8511,5.2,2284.0,35.0,13.0,5.8669,24600.0,0.6615,12.0,10.0,7.5,0.0,16.0
63200.0,16984.0,0.0,12.0,14.0,0.0,1.0,1680.0,0.0,1.0,51.0,12.0,3.5714,3.29,1875.0,50.0,8.0,7.52,23100.0,0.6915,7.0,14.0,5.0,1.0,14.0
12090.0,1457.0,8.0,7.0,7.0,0.0,1.0,2081.0,0.0,3.0,45.0,16.0,3.8068,4.19,2140.0,47.0,17.0,7.5449,24656.0,0.6615,12.0,12.0,5.0,1.0,27.0
6000.0,330.0,7.0,7.0,10.0,6.0,1.0,690.0,0.0,1.0,42.0,11.0,2.4638,0.0,1896.0,44.0,8.0,5.538,15897.0,0.7515,10.0,3.0,7.5,0.0,0.0
12800.0,1605.0,7.0,7.0,12.0,3.0,1.0,4210.0,0.0,0.0,46.0,12.0,2.3753,4.63,1040.0,49.0,16.0,6.9231,20320.0,0.6915,3.0,3.0,11.0,1.0,17.0
11600.0,1375.0,3.0,12.0,7.0,1.0,1.0,2205.0,0.0,1.0,46.0,10.0,4.5351,4.55,2200.0,52.0,12.0,5.0,21384.0,0.6615,10.0,3.0,11.0,0.0,28.0
21900.0,3223.0,3.0,3.0,7.0,1.0,1.0,1952.0,0.0,0.0,51.0,14.0,5.6183,5.6,1952.0,58.0,12.0,7.3064,25561.0,0.6215,7.0,7.0,14.0,0.0,24.0
15271.0,2048.0,1.0,9.0,3.0,3.0,1.0,1302.0,0.0,0.0,30.0,17.0,14.631,9.53,1560.0,30.0,17.0,11.218,36550.0,0.58,14.0,17.0,5.0,1.0,11.0
8117.0,698.0,4.0,7.0,10.0,8.0,1.0,112.0,1.0,2.0,30.0,12.0,2.6786,0.0,4030.0,33.0,16.0,3.8462,15810.0,0.7215,12.0,12.0,3.0,0.0,1.0
20000.0,3035.0,3.0,7.0,9.0,5.0,1.0,893.0,0.0,0.0,57.0,12.0,3.9194,3.5,2570.0,58.0,12.0,5.8366,25500.0,0.6215,9.0,9.0,7.5,1.0,14.0
12000.0,1266.0,3.0,10.0,7.0,3.0,1.0,583.0,1.0,2.0,31.0,16.0,2.5729,9.98,1530.0,34.0,16.0,13.725,24000.0,0.6615,14.0,16.0,9.5,1.0,6.0
24000.0,3957.0,3.0,7.0,7.0,3.0,1.0,480.0,0.0,2.0,48.0,12.0,4.5375,4.65,3149.0,48.0,8.0,6.3493,22172.0,0.6615,3.0,3.0,5.0,0.0,10.0
